pig,ast_xgb,alexnet,beats
114-1314,1.0,1.0,1.0
114-1688.wav,0.49142857142857144,0.48554913294797686,0.49142857142857144
114-1698.wav,1.0,0.8195718654434251,0.7814814814814814
114-1820.wav,1.0,1.0,1.0
114-1838.wav,0.5790010193679919,0.8193877551020408,0.46846846846846846
114-1840.wav,0.68828125,0.6114209827357238,0.6114209827357238
114-1955.wav,0.7124446234393879,0.734375,0.8256410256410256
114-380,0.46464646464646464,0.6889575289575289,0.46464646464646464
114-424,0.46411483253588515,0.3353763947823354,0.46411483253588515
114-787,0.2363132363132363,0.11651651651651651,0.2647342995169082
114-949,1.0,1.0,0.32954545454545453
20241207_11O,0.6305623584862068,0.5793479588098824,0.2531739088169534
20250109_338,0.7174753112924002,0.6211474632527264,0.38465497076023397
20250109_448,0.30148619957537154,0.3157894736842105,0.3889175701256238
20250114_66,0.4727272727272727,0.4727272727272727,0.3149284253578732
20250114_81,0.282560706401766,0.16161616161616163,0.22739018087855298
